Start Character,Header,Vendor Identification,Software Version,PACKET TYPE,PACKET IDENTIFIER,Live /History Packet,IMEI Number,Vehicle Registration Number,GPS Fix.1 or 0,Date in DDMMYYYY Format,Time HHMMSS Format,Latitude in decimal degree & Direction,,Longitude in decimal degree & Direction,,Speed,Heading,Number Of Satellites,Altitude in meters,PDOP Positional dilution of precision,HDOP Horizontal dilution of precision,Network Operator Name,Ignition Status,Vehicle Battery Status (1 or 0),Vehicle Battery Voltage,Internal Battery Voltage,Emergency Status (1 or 0),Tamper Alert. C (Close) or O (Open),GSM Signal Strength,MCC,MNC,LAC,Cell ID,NMR (Network Measurement Report) Neighboring Cell IDs,,,,,,,,,,,,Digital Inputs Status,Digital Outputs Status,Sequence Number Of Message,End Of Packet,Packet Arrival Date,Packet Arrival Time
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,338,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:04.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,348,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:04.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,358,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:04.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,408,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:04.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,418,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:20.1,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,428,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:20.1,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,438,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:20.1,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,448,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:20.1,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,458,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:20.1,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,508,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:20.1,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,518,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:20.1,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,528,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:20.1,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,538,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,36:20.1,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,418,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:08.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,428,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:08.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,438,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:08.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,448,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:08.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,458,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:08.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,508,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:08.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,518,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:08.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,528,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:08.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,538,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:08.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,548,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:24.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,558,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:24.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,608,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:24.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,618,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:24.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,628,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:24.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,638,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:24.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,648,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:24.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,658,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:24.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,708,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:24.9,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,718,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:38.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,728,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:38.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,738,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:38.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,748,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:38.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,758,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:38.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,808,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:38.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,818,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:38.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,828,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:38.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,838,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:38.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,848,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:54.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,858,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:54.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,908,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:54.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,918,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:54.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,928,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:54.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,938,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:54.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,948,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:54.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,958,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:54.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1008,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,40:54.7,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1018,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,41:11.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1028,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,41:11.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1038,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,41:11.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1048,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,41:11.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1058,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,41:11.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1108,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,41:11.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1118,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,41:11.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1128,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,41:11.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1138,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,41:11.0,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,0,6012080,1018,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,47:44.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,0,6012080,1028,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,47:44.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,0,6012080,1038,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,47:44.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,0,6012080,1048,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,47:44.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,0,6012080,1058,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,47:44.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,H,8.64337E+14,TN04E1234,0,6012080,1108,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,47:44.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1118,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,47:44.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1128,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,47:44.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1138,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,47:44.8,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1148,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,47:59.1,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1158,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,47:59.1,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1208,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,47:59.1,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1218,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,47:59.1,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1228,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,47:59.1,,,,,,,,,,,,,,,,,,,,,,,
$,1,SECURE,SAM1.0,DT,16,L,8.64337E+14,TN04E1234,0,6012080,1238,0,0,0,0,0,0,0,0,0,0,BSNL,1,0,0,0,27-05-2022,47:59.1,,,,,,,,,,,,,,,,,,,,,,,
